sample_id,cell_line,tissue_site
DMS53_LUNG,DMS53,LUNG
SW1116_LARGE_INTESTINE,SW1116_LARGE,INTESTINE
NCIH1694_LUNG,NCIH1694,LUNG
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HUT78_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
UMUC3_URINARY_TRACT,UMUC3_URINARY,TRACT
HOS_BONE,HOS,BONE
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HUNS1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML193_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
RVH421_SKIN,RVH421,SKIN
NCIH1184_LUNG,NCIH1184,LUNG
HCC2157_BREAST,HCC2157,BREAST
TC71_BONE,TC71,BONE
NCIH2227_LUNG,NCIH2227,LUNG
COLO205_LARGE_INTESTINE,COLO205_LARGE,INTESTINE
SNU449_LIVER,SNU449,LIVER
NCIH28_PLEURA,NCIH28,PLEURA
OV56_OVARY,OV56,OVARY
JHOS4_OVARY,JHOS4,OVARY
KYSE450_OESOPHAGUS,KYSE450,OESOPHAGUS
RMUGS_OVARY,RMUGS,OVARY
KLE_ENDOMETRIUM,KLE,ENDOMETRIUM
HS895T_FIBROBLAST,HS895T,FIBROBLAST
LN229_CENTRAL_NERVOUS_SYSTEM,LN229_CENTRAL_NERVOUS,SYSTEM
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
RKN_SOFT_TISSUE,RKN_SOFT,TISSUE
PATU8988S_PANCREAS,PATU8988S,PANCREAS
NH6_AUTONOMIC_GANGLIA,NH6_AUTONOMIC,GANGLIA
SF126_CENTRAL_NERVOUS_SYSTEM,SF126_CENTRAL_NERVOUS,SYSTEM
RERFLCAD2_LUNG,RERFLCAD2,LUNG
OUMS23_LARGE_INTESTINE,OUMS23_LARGE,INTESTINE
SNGM_ENDOMETRIUM,SNGM,ENDOMETRIUM
OUMS27_BONE,OUMS27,BONE
PL45_PANCREAS,PL45,PANCREAS
NCIH2347_LUNG,NCIH2347,LUNG
SW1990_PANCREAS,SW1990,PANCREAS
HS940T_FIBROBLAST,HS940T,FIBROBLAST
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HS611T_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
RERFGC1B_STOMACH,RERFGC1B,STOMACH
HT1080_SOFT_TISSUE,HT1080_SOFT,TISSUE
NCIH2087_LUNG,NCIH2087,LUNG
COV318_OVARY,COV318,OVARY
NCIH2085_LUNG,NCIH2085,LUNG
NCIH510_LUNG,NCIH510,LUNG
CAKI1_KIDNEY,CAKI1,KIDNEY
NCIH716_LARGE_INTESTINE,NCIH716_LARGE,INTESTINE
NCIH2066_LUNG,NCIH2066,LUNG
NCIH1341_LUNG,NCIH1341,LUNG
NCIH2029_LUNG,NCIH2029,LUNG
C3A_LIVER,C3A,LIVER
SW480_LARGE_INTESTINE,SW480_LARGE,INTESTINE
HS746T_STOMACH,HS746T,STOMACH
LU65_LUNG,LU65,LUNG
HS739T_FIBROBLAST,HS739T,FIBROBLAST
SNUC2A_LARGE_INTESTINE,SNUC2A_LARGE,INTESTINE
HEC151_ENDOMETRIUM,HEC151,ENDOMETRIUM
MSTO211H_PLEURA,MSTO211H,PLEURA
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RAJI_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SKMEL1_SKIN,SKMEL1,SKIN
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
JHH7_LIVER,JHH7,LIVER
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HUT102_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
5637_URINARY_TRACT,5637_URINARY,TRACT
HCC38_BREAST,HCC38,BREAST
DU4475_BREAST,DU4475,BREAST
NCIH1573_LUNG,NCIH1573,LUNG
NCIH508_LARGE_INTESTINE,NCIH508_LARGE,INTESTINE
NCIH1651_LUNG,NCIH1651,LUNG
SKUT1_SOFT_TISSUE,SKUT1_SOFT,TISSUE
MDAMB175VII_BREAST,MDAMB175VII,BREAST
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
BECKER_CENTRAL_NERVOUS_SYSTEM,BECKER_CENTRAL_NERVOUS,SYSTEM
NCIH226_LUNG,NCIH226,LUNG
NCIH1666_LUNG,NCIH1666,LUNG
SW1783_CENTRAL_NERVOUS_SYSTEM,SW1783_CENTRAL_NERVOUS,SYSTEM
ISTMES1_PLEURA,ISTMES1,PLEURA
NCIH1734_LUNG,NCIH1734,LUNG
NCIH2342_LUNG,NCIH2342,LUNG
EBC1_LUNG,EBC1,LUNG
YMB1_BREAST,YMB1,BREAST
OC316_OVARY,OC316,OVARY
HS936T_SKIN,HS936T,SKIN
T173_FIBROBLAST,T173,FIBROBLAST
NCIH322_LUNG,NCIH322,LUNG
HS618T_FIBROBLAST,HS618T,FIBROBLAST
HS870T_FIBROBLAST,HS870T,FIBROBLAST
HS706T_BONE,HS706T,BONE
PANC1_PANCREAS,PANC1,PANCREAS
NCIH2291_LUNG,NCIH2291,LUNG
T47D_BREAST,T47D,BREAST
HS742T_FIBROBLAST,HS742T,FIBROBLAST
BICR56_UPPER_AERODIGESTIVE_TRACT,BICR56_UPPER_AERODIGESTIVE,TRACT
BICR16_UPPER_AERODIGESTIVE_TRACT,BICR16_UPPER_AERODIGESTIVE,TRACT
TE10_OESOPHAGUS,TE10,OESOPHAGUS
SKMEL28_SKIN,SKMEL28,SKIN
BICR6_UPPER_AERODIGESTIVE_TRACT,BICR6_UPPER_AERODIGESTIVE,TRACT
BHY_UPPER_AERODIGESTIVE_TRACT,BHY_UPPER_AERODIGESTIVE,TRACT
AZ521_SMALL_INTESTINE,AZ521_SMALL,INTESTINE
SH4_SKIN,SH4,SKIN
KPL1_BREAST,KPL1,BREAST
CGTHW1_THYROID,CGTHW1,THYROID
TUHR4TKB_KIDNEY,TUHR4TKB,KIDNEY
LS123_LARGE_INTESTINE,LS123_LARGE,INTESTINE
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HPAC_PANCREAS,HPAC,PANCREAS
RCC10RGB_KIDNEY,RCC10RGB,KIDNEY
JHOM1_OVARY,JHOM1,OVARY
SU8686_PANCREAS,SU8686,PANCREAS
HCC33_LUNG,HCC33,LUNG
TE6_OESOPHAGUS,TE6,OESOPHAGUS
JHOC5_OVARY,JHOC5,OVARY
ACCMESO1_PLEURA,ACCMESO1,PLEURA
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL41_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SNU1214_UPPER_AERODIGESTIVE_TRACT,SNU1214_UPPER_AERODIGESTIVE,TRACT
CORL105_LUNG,CORL105,LUNG
LMSU_STOMACH,LMSU,STOMACH
SNU1197_LARGE_INTESTINE,SNU1197_LARGE,INTESTINE
COLO668_LUNG,COLO668,LUNG
OSRC2_KIDNEY,OSRC2,KIDNEY
HUH6_LIVER,HUH6,LIVER
PANC0203_PANCREAS,PANC0203,PANCREAS
CJM_SKIN,CJM,SKIN
BICR22_UPPER_AERODIGESTIVE_TRACT,BICR22_UPPER_AERODIGESTIVE,TRACT
SHSY5Y_AUTONOMIC_GANGLIA,SHSY5Y_AUTONOMIC,GANGLIA
TM31_CENTRAL_NERVOUS_SYSTEM,TM31_CENTRAL_NERVOUS,SYSTEM
SNU1272_KIDNEY,SNU1272,KIDNEY
KPNRTBM1_AUTONOMIC_GANGLIA,KPNRTBM1_AUTONOMIC,GANGLIA
BICR18_UPPER_AERODIGESTIVE_TRACT,BICR18_UPPER_AERODIGESTIVE,TRACT
TE4_OESOPHAGUS,TE4,OESOPHAGUS
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PCM6_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
ECC10_STOMACH,ECC10,STOMACH
TUHR14TKB_KIDNEY,TUHR14TKB,KIDNEY
YD15_SALIVARY_GLAND,YD15_SALIVARY,GLAND
UBLC1_URINARY_TRACT,UBLC1_URINARY,TRACT
ECGI10_OESOPHAGUS,ECGI10,OESOPHAGUS
CW2_LARGE_INTESTINE,CW2_LARGE,INTESTINE
SNU761_LIVER,SNU761,LIVER
SNU61_LARGE_INTESTINE,SNU61_LARGE,INTESTINE
NCIH1915_LUNG,NCIH1915,LUNG
SNU324_PANCREAS,SNU324,PANCREAS
YD10B_UPPER_AERODIGESTIVE_TRACT,YD10B_UPPER_AERODIGESTIVE,TRACT
HCC2279_LUNG,HCC2279,LUNG
HLC1_LUNG,HLC1,LUNG
TUHR10TKB_KIDNEY,TUHR10TKB,KIDNEY
HEC1B_ENDOMETRIUM,HEC1B,ENDOMETRIUM
VMRCLCP_LUNG,VMRCLCP,LUNG
TGBC11TKB_STOMACH,TGBC11TKB,STOMACH
OVK18_OVARY,OVK18,OVARY
SNU1077_ENDOMETRIUM,SNU1077,ENDOMETRIUM
HCC1588_LUNG,HCC1588,LUNG
SNU213_PANCREAS,SNU213,PANCREAS
HT115_LARGE_INTESTINE,HT115_LARGE,INTESTINE
TE14_OESOPHAGUS,TE14,OESOPHAGUS
TE8_OESOPHAGUS,TE8,OESOPHAGUS
SNU520_STOMACH,SNU520,STOMACH
JHUEM3_ENDOMETRIUM,JHUEM3,ENDOMETRIUM
LI7_LIVER,LI7,LIVER
NCIH838_LUNG,NCIH838,LUNG
SNU119_OVARY,SNU119,OVARY
SNU1033_LARGE_INTESTINE,SNU1033_LARGE,INTESTINE
SNUC5_LARGE_INTESTINE,SNUC5_LARGE,INTESTINE
GSS_STOMACH,GSS,STOMACH
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TALL1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HCC1171_LUNG,HCC1171,LUNG
SNUC4_LARGE_INTESTINE,SNUC4_LARGE,INTESTINE
U138MG_CENTRAL_NERVOUS_SYSTEM,U138MG_CENTRAL_NERVOUS,SYSTEM
SNU620_STOMACH,SNU620,STOMACH
ECC12_STOMACH,ECC12,STOMACH
GSU_STOMACH,GSU,STOMACH
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS18_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
JHOM2B_OVARY,JHOM2B,OVARY
MDAMB231_BREAST,MDAMB231,BREAST
OV90_OVARY,OV90,OVARY
